id,avaliacao_id,grupo,dominio,score,categoria,criado_em
320,10069,10,Endividamento Financeiro,43.75,medio,2026-02-23 23:15:01.867821
321,10071,1,Demandas no Trabalho,31.25,baixo,2026-02-23 23:16:00.87096
322,10071,2,Organiza├º├úo e Conte├║do do Trabalho,25.00,baixo,2026-02-23 23:16:00.87096
323,10071,3,Rela├º├Áes Sociais e Lideran├ºa,37.50,medio,2026-02-23 23:16:00.87096
324,10071,4,Interface Trabalho-Indiv├¡duo,75.00,alto,2026-02-23 23:16:00.87096
325,10071,5,Valores Organizacionais,41.67,medio,2026-02-23 23:16:00.87096
326,10071,6,Tra├ºos de Personalidade,75.00,alto,2026-02-23 23:16:00.87096
327,10071,7,Sa├║de e Bem-Estar,50.00,medio,2026-02-23 23:16:00.87096
328,10071,8,Comportamentos Ofensivos,25.00,baixo,2026-02-23 23:16:00.87096
329,10071,9,Comportamento de Jogo,56.25,medio,2026-02-23 23:16:00.87096
330,10071,10,Endividamento Financeiro,68.75,alto,2026-02-23 23:16:00.87096
331,10074,1,Demandas no Trabalho,50.00,medio,2026-02-25 18:34:24.218014
332,10074,2,Organiza├º├úo e Conte├║do do Trabalho,50.00,medio,2026-02-25 18:34:24.218014
333,10074,3,Rela├º├Áes Sociais e Lideran├ºa,54.17,medio,2026-02-25 18:34:24.218014
334,10074,4,Interface Trabalho-Indiv├¡duo,56.25,medio,2026-02-25 18:34:24.218014
335,10074,5,Valores Organizacionais,58.33,medio,2026-02-25 18:34:24.218014
336,10074,6,Tra├ºos de Personalidade,62.50,medio,2026-02-25 18:34:24.218014
337,10074,7,Sa├║de e Bem-Estar,58.33,medio,2026-02-25 18:34:24.218014
338,10074,8,Comportamentos Ofensivos,50.00,medio,2026-02-25 18:34:24.218014
