C:\apps\QWork\components\modals\LiberarLoteModal.tsx: line 555, col 1, Warning - File has too many lines (538). Maximum allowed is 500. (max-lines)
C:\apps\QWork\components\modals\ModalCadastroEmissor.tsx: line 47, col 24, Warning - Async arrow function has too many lines (75). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\modals\ModalContrato.tsx: line 283, col 26, Warning - Arrow function has too many lines (79). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\payments\ParcelasTable.tsx: line 109, col 25, Warning - Arrow function has too many lines (67). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pdf\LaudoDownloadClient.tsx: line 30, col 20, Warning - Async arrow function has too many lines (72). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pdf\RelatorioDownloadClient.tsx: line 30, col 20, Warning - Async arrow function has too many lines (75). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pendencias\PendenciasSection.tsx: line 279, col 19, Warning - Arrow function has too many lines (76). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentoCard.tsx: line 42, col 1, Warning - Function 'ParcelasTabela' has too many lines (58). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentoCard.tsx: line 109, col 8, Warning - Function 'PagamentoCard' has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentoCard.tsx: line 109, col 8, Warning - Function 'PagamentoCard' has a complexity of 19. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\shared\PagamentosEmAberto.tsx: line 125, col 25, Warning - Arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)

67 problems
